"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"work.tech.13","work","C2","Conference Talk Q&A — Handling Tough Questions","Audience Member","Tech conference Q&A session (mic on stage)","3","Great talk. Question: how did you handle data consistency during the cutover? || Specifically — what was the consistency lag p99 during dual-write? || Fair. Also — I'm catching you here too. Find me at the booth? || Different question — wasn't this whole microservices approach a mistake? Monolith would've been simpler.","Great question — we did dual-write for two weeks, then reconciliation jobs verified consistency before cutover. || Honestly — don't have the exact number off the top of my head. Happy to follow up offline. || Absolutely — find me at the break, or DM me on Twitter.","Bilinen soru: 'Great question — we did dual-write for two weeks, then reconciliation jobs verified consistency before cutover.' || Bilmiyorsan: 'Honestly — don't have the exact number off the top of my head. Happy to follow up offline.' Türk yazılımcı kacinmak yerine kabul + offline. || Plan: 'Absolutely — find me at the break, or DM me on Twitter.'","","","",""
"airport.44.10","airport","A2","Kayıp Bagaj — Lost & Found","Baggage Service Agent","Lost & Found desk in baggage claim area","3","Hello, how can I help you? || I'm sorry to hear that. What flight were you on? || Do you have your baggage claim tag?","Hi, my bag didn't arrive on the belt. || Flight TK1, from Istanbul. || Yes, it's on my boarding pass.","Net aç: 'Hi, my bag didn't arrive on the belt.' 'My bag lost!' YANLIŞ — 'didn't arrive' veya 'is missing'. || Uçuş numarası + nereden: 'Flight TK1, from Istanbul.' Uçuş numarasını biniş kartından oku. || Genelde biniş kartına yapışıktır: 'Yes, it's on my boarding pass.' Telefonda da olabilir.","","","",""
"airport.44.15","airport","B1","Uçakta Yemek — ""Vejetaryen Var mı?""","Flight Attendant","Mid-flight meal service, friendly tone","3","Chicken or pasta tonight? || The pasta has a meat sauce. Did you request a special meal? || Let me check if we have any spare vegetarian meals. || Good news — we have one extra vegetarian pasta. Here you go.","I'm vegetarian — is the pasta meat-free? || No, I forgot to request one when I booked. Is there anything else? || That would be amazing, thank you.","Doğrudan sor: 'I'm vegetarian — is the pasta meat-free?' 'I am not eat meat' YANLIŞ → 'I don't eat meat'. || Dürüst ol: 'No, I forgot to request one when I booked. Is there anything else?' || Minnet göster: 'That would be amazing, thank you.' Eğer yoksa: 'If not, just bread is fine.'","","","",""
"airport.44.20","airport","C2","Layover Dilemma — 14 Saat, Vize Yok","Information Desk Staff","Doha Airport information desk, calm and helpful","3","Hi, how can I help you today? || No problem — plenty of things air-side. Have you eaten? Shopped? Rested? || You can book a sleep pod or a day room at the transit hotel — both are inside the airport. || Sleep pod is 30 dollars for 4 hours. Day room is 90 for 12 hours, with shower and bed.","Hi, I've got a 14-hour layover and no transit visa. What can I do air-side? || Honestly, I'm exhausted — is there anywhere to sleep? || How much do they cost, and which would you recommend for 14 hours?","Tam açıkla: 'Hi, I've got a 14-hour layover and no transit visa. What can I do air-side?' || Öncelik söyle: 'Honestly, I'm exhausted — is there anywhere to sleep?' || Fiyat + tercih: 'How much do they cost, and which would you recommend for 14 hours?'","","","",""
"arc.apartment_hunt.2","arc","A2","Sahne 2 — İlk viewing: 'this isn't quite what I expected'","Daniel (estate agent, gauging your reaction)","First flat viewing, Hackney, Saturday 11am","3","So — what do you think? Cosy, right? || Fair. What's a dealbreaker? || Got it. What's must-have for the next ones? || Got it. Two more today — let's recalibrate.","Cosy is one word — cramped is another. || No washer — won't work. || Washer, natural light, separate bedroom.","Dürüst: 'Cosy is one word — cramped is another.' Türk: 'Not good' kapalı, mizahlı dürüstlük. || Dealbreaker net: 'No washer — won't work.' Türk: 'I don't like' belirsiz, somut neden. || Must-have liste: 'Washer, natural light, separate bedroom.' Türk: 'Bigger' belirsiz, somut özellik.","","","",""
"arc.apartment_hunt.5","arc","B1","Sahne 5 — Contract review: 'this clause concerns me'","Daniel (going through contract)","Foxtons office, contract signing meeting","3","Ready to sign? Any questions? || Of course — which clause? || Six months minimum, then two months' notice. Standard. || I can ask, but Mrs. Pemberton is conservative on this.","Before we sign — a few questions. || If I need to leave early — am I liable? || Could we write an exception for relocation?","İmza önce: 'Before we sign — a few questions.' Türk: 'OK sign' acele, dur + sor. || Spesifik: 'If I need to leave early — am I liable?' Türk: 'I don't understand' kapalı, hipotez ver. || Sınırı zorla: 'Could we write an exception for relocation?' Türk: 'OK' kabul, opsiyonu sor.","","","",""
"arc.customer_support.8","arc","B2","Sahne 8 — Priya'nın ilk başarılı eskalasyonu: tebrik","Priya (now 2 months in, growing fast)","Post-call debrief, 5pm","3","Did you hear that call? I think I handled it. || I used the empathy line first. Then I bought time. Just like you said. || Honestly? I felt calm. First time.","You crushed it. || You made it your own. || Remember this feeling.","Tebrik önce: 'You crushed it.' Türk: 'OK good' düz, somut övgü. || Validasyon: 'You made it your own.' Türk: 'OK' düz, gelişimi yansıt. || Anı çerçeveler: 'Remember this feeling.' Türk: 'OK' düz, an = öğrenme.","","","",""
"arc.apartment_hunt.8","arc","C2","Sahne 8 — Kontrat yenileme: rent artışı","Mrs. Pemberton (renewal negotiation)","Mrs. Pemberton's flat, tea, lease renewal discussion","3","I'm thinking 8% increase this year. Market is up. || Inflation's been 7%. I'm not even keeping pace. || True. But 3% won't cover my costs. || Two-year lock at 5%. I can live with that.","I was thinking 3%. || Zero late payments — turnover costs you more. || 5% for two years, no break clause.","Karşı teklif: 'I was thinking 3%.' Türk: 'No too much' agresif, sayı + sebep. || Veri + ilişki: 'Zero late payments — turnover costs you more.' Türk: 'I am good' belirsiz, sayı + risk. || Yaratıcı orta: '5% for two years, no break clause.' Türk: 'Yes OK' kabul, ortak kazanç çerçevele.","","","",""
"bar.approach.24.16","bar","A2","Dive Bar — Yasli Mudavim","Older regular (60s)","Dive bar, late afternoon","3","Hey kid, you new here? Don't think I've seen you. || Been coming here forty years. Same stool, same beer. You won'?t find a place like this anywhere. || Used to come here with my dad. He's gone now, but I still take his seat sometimes.","Yeah, first time || Wow, forty years! || I'm sorry — that's a beautiful tradition","Anlat: 'Yeah, first time'. Dive bar kulturunde sohbet sicaktir. || Saygi: 'Wow, forty years!' Sohbeti devam ettir. || Empati: 'I'm sorry — that's a beautiful tradition'.","","","",""
"bar.approach.24.10","bar","B1","Masaya Katılmak — Is This Seat Taken?","Stranger at table","Packed bar, group of 4 with one empty chair","3","Oh, no, it's free. Go ahead. || Yeah, total madness. Are you here alone?","Hey, is this seat taken? || Thanks, it's crazy in here tonight! || Yeah, my friend's running late","Aç: 'Hey, is this seat taken?' veya 'Mind if I join?' || Teşekkür + smalltalk: 'Thanks, it's crazy in here tonight!' || Cevap: 'Yeah, my friend's running late' veya 'Kind of solo tonight'.","","","",""
"bar.approach.24.12","bar","B2","Politely Declining — Kibarca Reddetmek","Stranger flirting","Bar, stranger has approached, clearly interested","3","Hey, can I buy you a drink? || Come on, just one drink. We can talk. || Oh — okay, fair enough. Sorry for being pushy. || Thanks. Take care.","Thanks, that's sweet, but I'm good || I'm flattered but I'm not really looking — sorry || No worries, have a great night!","Kibar red: 'Thanks, that's sweet, but I'm good'. || Net ol: 'I'm flattered but I'm not really looking — sorry'. || Yumuşat: 'No worries, have a great night!'","","","",""
"bar.approach.24.43","bar","C2","Sarap — Terroir ve Vintage","Master sommelier","Fine wine bar","3","How do you find this 2018? || You picked up on the acid. Most don't. What's your read on the terroir expression? || How worried are you about climate change in classic regions?","Albeit warmer than I'd normally expect, it's surprisingly graceful || For what it's worth, the terroir wins over the vintage signature || Burgundy is the canary in the coal mine","C1: 'Albeit warmer than I'd normally expect, it's surprisingly graceful'. || C1: 'For what it's worth, the terroir wins over the vintage signature'. || C1 idiom: 'Burgundy is the canary in the coal mine'.","","","",""
"career.b1.coverletter.1","career","B1","İlk İş Başvurusu — Cover Letter","Career mentor","Cover letter review (chat)","3","Send me your opening line — how are you starting the letter? || Good. Now the second paragraph — what makes you a fit? Give me one sentence. || Strong. And how are you closing the letter? || That's a clean letter — recruiter will get exactly what they need in under a minute.","Dear hiring manager, I am writing to apply for the [Role] position. || With X years of experience in Y, I am confident I can contribute to your team. || Thank you for your time. I would welcome the opportunity to discuss further. Best regards, [Name].","Standart açılış: 'Dear hiring manager, I am writing to apply for the [Role] position.' || Formül: 'With X years of experience in Y, I am confident I can contribute to your team.' Somut deneyim + güvenli ton. || Kapanış: 'Thank you for your time. I would welcome the opportunity to discuss further. Best regards, [Name].'","","","",""
"career.b2.deadline_pushback.1","career","B2","Deadline'a Karsi Cikma — Risk Bildir","Manager","Sprint planning, Slack DM follow-up","3","Locking in the launch — 6 weeks from today. Marketing already booked the slot. || Sure — what's the concern? || I can't move the launch — marketing has the slot.","Thanks for the heads-up — want to flag a risk on the 6 weeks. Can we sync? || 6 wks tight with current scope — honest ETA is 8-9. || If date is locked — we'd cut SSO and reporting, or skip QA. Which?","Sicak baslangic + sinyal: 'Thanks for the heads-up — want to flag a risk on the 6 weeks. Can we sync?' || Spesifik: '6 wks tight with current scope — honest ETA is 8-9.' || Trade-off ver: 'If date is locked — we'd cut SSO and reporting, or skip QA. Which?'","","","",""
"daily.survival.a1.10","daily","A1","Tuvalet, Eczane, Su, Restoran","Hotel receptionist","Hotel lobby","3","Of course, how can I help? || Yes, there's one across the street. || There's an Italian place two blocks down. Very nice.","Excuse me || Is there a pharmacy near here? || And where is a good restaurant?","'Excuse me' ile başla. || 'Is there a pharmacy near here?' veya 'Where is the pharmacy?' || Teşekkür et, sonra: 'And where is a good restaurant?'","","","",""
"daily.a2.doctor.1","daily","A2","Doktora basit semptom anlatma","Doctor","Clinic exam room","3","Good morning. What brings you in today? || I see. How long have you been feeling this way? || Does anything make it worse — eating, drinking, talking?","I have a fever and a sore throat || For two days || It hurts when I swallow","'I have a fever and a sore throat' gibi net bir başlangıç. || 'Since yesterday' veya 'For two days'. || 'It hurts when I swallow' veya 'Swallowing makes it worse'.","","","",""
"daily.bank.30.2","daily","B1","Hesap Açma","Bank associate","Account opening desk","3","Hi there! What brings you in today? || Great — checking or savings? Or both? And what documents have you brought? || Perfect. Any preference on currency — dollars only, or multi-currency?","Hi, I'd like to open a checking account. || Checking, please. I have my passport and proof of address. || Dollars only, please","Net giriş: 'Hi, I'd like to open a checking account.' || Hesap tipi + belgeler: 'Checking, please. I have my passport and proof of address.' || Para birimi: 'Dollars only, please' veya 'Multi-currency, if possible'.","","","",""
"flirt.deep.10","flirt","A2","Online'dan IRL — Ilk 5 Dakika","Date","First IRL meet after a month of texting","3","Oh my god — okay — hi! This is so weird. || Definitely hug. Okay — wow — you're shorter than I thought, sorry. || Hahaha okay we're already off to a great start. Should we go in?","Hi — this is genuinely weirder than I expected. Hug or handshake? || Rude but allowed. Photos lie about height. || Yes please — I need coffee for the nerves.","Tansiyonu tan: 'Hi — this is genuinely weirder than I expected. Hug or handshake?' || Sakaya cevap: 'Rude but allowed. Photos lie about height.' || Cabuk hareket: 'Yes please — I need coffee for the nerves.'","","","",""
"flirt.banter.2.2","flirt","B1","Banter / Tatlı Atışma","Match","Witty back-and-forth","3","Wait you're telling me you've never seen The Office? That's a red flag honestly. || Haha okay fair. My red flag is that I can't listen to a podcast without 1.5x speed. Like even music. || Defending it though — I have to. I read books at 1.5x, too. What's so wrong? || Okay rude. Fine — favorite slow thing to do, then? Prove me wrong about being chaotic.","Bold of you to assume that's the only red flag. || Music at 1.5x?? That's criminal — bigger red flag than mine. || Books don't even have a playback speed — now you're just unhinged","Banter: 'Bold of you to assume that's the only red flag.' veya 'Wow calling me out — okay let's hear yours.' || Devam: 'Music at 1.5x?? That's criminal — bigger red flag than mine.' || Karşı takılma: 'Books don't even have a playback speed — now you're just unhinged'. 'Unhinged' = çatlak (espri). Türk: 'manyak' direkt çeviri 'crazy' ama 'unhinged' modern + casual.","","","",""
"ielts.p1.2","ielts","B1","Part 1 — Work & Studies","IELTS Examiner","Formal exam room","3","Are you working or are you a student? || Why did you choose this field? || What's the most challenging part of your studies or job?","I work as a software engineer || I've always been interested in computers, even as a kid || Time management is the hardest — juggling deadlines is tough","Net cevap ver: 'I'm currently a student' veya 'I work as a software engineer'. || Sebep: 'I've always been interested in computers, even as a kid'. Türk öğrenci 'because' overuse eder — 'since' veya 'as' da kullan. || Zorluk + örnek: 'Time management is the hardest — juggling deadlines is tough'.","","","",""
"ielts.p1.6","ielts","B2","Part 1 — Technology & Social Media","IELTS Examiner","Formal exam room","3","How often do you use your phone? || Which social media platforms do you use? || Do you think technology is making us less social?","Honestly, way too much — probably six or seven hours a day || Mostly Instagram and WhatsApp — I try to limit Twitter || In some ways yes — we spend more time on screens — but it also helps us stay connected with people far away","Sıklık: 'Honestly, way too much — probably six or seven hours a day' — exam'de honesty puanlanır. || Platform listele: 'Mostly Instagram and WhatsApp — I try to limit Twitter'. || Nüanslı görüş: 'In some ways yes — we spend more time on screens — but it also helps us stay connected with people far away'.","","","",""
"ielts.p3.1","ielts","C1","Part 3 — Influences & Role Models","IELTS Examiner","Formal exam room","3","We've been talking about influences. Now I'd like to discuss some general questions. Do you think public figures influence young people too much? || Who do you think has a bigger influence — family or society? || Can negative role models also teach important lessons?","To some extent yes — teens are particularly impressionable and absorb online culture quickly || I'd argue family has a deeper impact in early years, but society's influence grows with age || Paradoxically, yes — seeing what not to do can be just as instructive, though the cost is high","Hedged opinion: 'To some extent yes — teens are particularly impressionable and absorb online culture quickly'. || Yapı: hedged + sebep + nüans. 'I'd argue family has a deeper impact in early years, but society's influence grows with age'. || Paradox: 'Paradoxically, yes — seeing what not to do can be just as instructive, though the cost is high'.","","","",""
"ielts.p3.4","ielts","C2","Part 3 — Books vs Movies — Screen Era","IELTS Examiner","Formal exam room","3","Are people reading less because of screens? || Can a film capture the essence of a book? || Will print books survive the digital age?","It comes down to format — we're reading more text than ever, but in shorter bursts. Deep reading is declining || Rarely — films are a visual medium, so the introspection that books offer is almost always sacrificed || I'd like to think so — much like vinyl records, print may shrink but become a more deliberate, valued choice","Reframe: 'It comes down to format — we're reading more text than ever, but in shorter bursts. Deep reading is declining'. || Limit + örnek: 'Rarely — films are a visual medium, so the introspection that books offer is almost always sacrificed'. || Tarihsel paralellik: 'I'd like to think so — much like vinyl records, print may shrink but become a more deliberate, valued choice'.","","","",""
"order.bar.7.10","order","A2","Buying a Round — Arkadaşlara Tur","Bartender","Pub, group of 4 friends at table behind you","3","Hey, what can I get you? || Sure thing. What's everyone drinking? || Got it. You paying now or want me to start a tab? || Cool. I'll bring those over in a sec.","A round for the table || Three lagers and a wine || Start a tab, here's my card","Grup sipariş: 'A round for the table' veya 'Four beers, please'. || Sayı + içki: 'Three lagers and a wine' veya 'Two beers and a gin tonic'. || Tab aç: 'Start a tab, here's my card' veya direkt öde: 'Card, please'.","","","",""
"order.bar.7.13","order","B1","Cash vs Card — Ödeme Seçeneği","Bartender","Bar, end of night, settling up","3","Hey, ready to settle up? || Total is eighty-five. Cash, card, or splitting? || Sure, four cards. Want me to add a tip or you'll handle it? || Cool. I'll run the cards now.","Can we see the tab? || I'll cover it with card || Add twenty percent, please","Kapatma iste: 'Close us out, please' veya 'Can we see the tab?' || Böl: 'Split four ways, please' veya tek öde: 'I'll cover it with card'. || Bahşiş: 'Add twenty percent, please' veya 'We'll handle the tip'.","","","",""
"order.bar.7.42","order","C2","Mezcal — Dumanli Tat Tartismasi","Cocktail bartender","Craft cocktail bar","3","Have you had mezcal before? I'd love to make you a mezcal negroni. || Fair. Not all mezcals are smoke bombs. There's a milder one I could use. || The milder one has more vegetal, earthy notes — less of the campfire vibe. || I'll give you a small taste of the spirit first, so you can judge.","I'm on the fence about mezcal || I'd be willing to give it another shot || Vegetal I can get behind","B2: 'I'm on the fence about mezcal'. Hedge ile durusunu yumusat. || B2 stance shift: 'I'd be willing to give it another shot'. || B2: 'Vegetal I can get behind' — kabulu nuance ile.","","","",""
"personal.b1.breakup.1","personal","B1","Ayrılık Konuşması — Net, Saygılı, Kesin","Partner","Breakup conversation, at home","3","Okay. You're scaring me a little — just say it. || Why now? Is it something I did? What if we try couples therapy or — ","I have been thinking about this for a while. This is not easy to say, but we need to talk. || I think we should end things. || You did not do anything wrong. We are not a good fit, and I am sure this is the right call.","Yumuşak ama net gir. Örnek: 'I have been thinking about this for a while. This is not easy to say, but we need to talk.' || Çekirdek cümle. Tek tek kelimelerle, sapma yok. 'I think we should end things.' || Suçlama yapmadan kararı netleştir. Örnek: 'You did not do anything wrong. We are not a good fit, and I am sure this is the right call.'","","","",""
"professional.b1.chairing.1","professional","B1","Chairing a Meeting","Team Member","Weekly team meeting — video call","3","Hey, are we ready? My calendar says we're starting now. || Sounds good. Where do you want to start? || Sure. We've completed the API work, but the design review is still pending — and I want to raise a separate concern about budget.","Right, let's get started. Thanks for joining — we have three items on the agenda today. || First item on the agenda is the Q2 deliverables. Could you walk us through the status? || Thanks for the update. Let's park the budget point — I'll add it to AOB and we'll come back to it.","Resmi aç: 'Right, let's get started. Thanks for joining — we have three items on the agenda today.' || İlk madde: 'First item on the agenda is the Q2 deliverables. Could you walk us through the status?' || Konuyu yönet: 'Thanks for the update. Let's park the budget point — I'll add it to AOB and we'll come back to it.'","","","",""
"professional.c1.crisis.1","professional","C1","Kriz İletişimi — İçeride ve Dışarıda","Internal employee (CFO chimes in with hard question)","Live all-hands during/after incident, recorded","3","[All-hands begins. Eyes on you. The room — and the press — wants to hear the first sentence.] || [Now they need to hear ownership — not blame, not deflection.] || [CFO speaks up:] 'What's the financial exposure? Are we going to lose enterprise accounts?' || [Employee in chat:] 'What are we doing right now? And what about next time?'","I want to start with a clear account. At 14:02 today, a deploy regression took the platform down for 47 minutes. Here's what we know. || We take full ownership — no excuses, no blame on vendors. The fault sits inside our controls. To our customers: we owe you better. || Direct exposure — SLA credits around $1.2M. Three enterprise accounts have escalated. Account team is on the phones now. Larger churn risk — too early to size.","Aç: 'I want to start with a clear account. At 14:02 today, a deploy regression took the platform down for 47 minutes. Here's what we know.' || Sahiplen: 'We take full ownership — no excuses, no blame on vendors. The fault sits inside our controls. To our customers: we owe you better.' || Şeffaf finans: 'Direct exposure — SLA credits around $1.2M. Three enterprise accounts have escalated. Account team is on the phones now. Larger churn risk — too early to size.'","","","",""
"professional.c1.board.2","professional","C2","Kurul Toplantısı — Çeyrek Highlight Sunma","Lead Independent Director","Quarterly board meeting, in-person, audit chair present","3","Let's open with your Q3 read. Three minutes — what do we need to know, and what would you flag? || Margin expansion with EMEA softening — what's holding the line? Be specific. || And on EMEA — is this cyclical or are we losing share? The honest read, please.","Let me frame it. Q3 highlights include record NRR, two new verticals, and margin expansion. On the headwinds front, EMEA softened — within our scenario planning. Our north star remains durable, capital-efficient growth. || Fair push. Three drivers — mix shift into higher-tier, pricing discipline, and operating leverage. Were it not for FX drag, margin would have cleared 32. Underlying business is stronger than the headline suggests. || Honest read — predominantly cyclical, sector-wide. But I'd be doing the board a disservice if I didn't flag a share dynamic in mid-market. We've already repriced; tripwire set at NRR below 108 by year-end.","Açılış triptiği: 'Let me frame it. Q3 highlights include record NRR, two new verticals, and margin expansion. On the headwinds front, EMEA softened — within our scenario planning. Our north star remains durable, capital-efficient growth.' || Subjunctive + drivers: 'Fair push. Three drivers — mix shift into higher-tier, pricing discipline, and operating leverage. Were it not for FX drag, margin would have cleared 32. Underlying business is stronger than the headline suggests.' || Şeffaf çerçeveleme: 'Honest read — predominantly cyclical, sector-wide. But I'd be doing the board a disservice if I didn't flag a share dynamic in mid-market. We've already repriced; tripwire set at NRR below 108 by year-end.'","","","",""
"story.erasmus.11","story","A2","Gün 18 — Profesörle ofis saati: 'about the assignment'","Professor","Office hours, Humboldt, professor's office","3","Come in. You wanted to talk about the assignment? || Sure — fire away. || Good question. The point is the argument, not the case. Pick anything that lets you make the strongest case.","Yes, I had a question about the assignment. || I wasn't sure if X or Y || So I could go with X?","Resmi giriş: 'Yes, I had a question about the assignment.' Türk: 'I have problem' eksik, 'I had a question' daha kibar/yetişkin. || Soru çerçevesi: 'I wasn't sure if X or Y'. Türk: 'I don't understand' kapalı, 'Could you clarify the scope?' net + kibar. || Anladığını göster: 'So I could go with X?' (örnek ver). Türk: 'Ok thanks' düz, anladığını cümleyle göster — profesör beğenir.","","","",""
"story.ielts.10","story","B1","Gün 20 — Band 7 collocations: 'do the dishes' vs 'make the dishes'","Coach Sarah","Online IELTS coaching, Band 7 collocation drill","3","Quick fire. Make or do? 'a mistake.' || Good. 'Homework'? || 'a phone call'?","make a mistake. || do homework. || make a call.","Kural: 'make a mistake.' Türk: 'do' eğilimi yanlış. 'Make' = yaratma, 'do' = eylem. || 'do homework.' Türk: 'make homework' yanlış (yaygın), 'do homework' doğru. || 'make a call.' Türk: 'do call' yanlış, 'make a call' doğru.","","","",""
"work.expand.12","work","A2","Olumlu Geri Bildirim — Reddetmeme","Skip-level Director","Quarterly review meeting","3","Just want to say — the migration is going incredibly well. You're a key reason. Real impact. || Good. Curious — what made it work for you? || That last one's gold. How do we replicate that pattern? || Love it. One ask — be more visible. People should know you did this.","Thank you — that means a lot. Not going to deflect it. || Honestly — combination of upfront planning, partnering with platform team, and learning from the last migration that went sideways. || Few ideas — writeup as a playbook, brown bag for the org. Happy to drive it.","Türk 'aman degil' DEME: 'Thank you — that means a lot. Not going to deflect it.' || Reflektif (sahiplen ama paylas): 'Honestly — combination of upfront planning, partnering with platform team, and learning from the last migration that went sideways.' || Sahiplen + dagit: 'Few ideas — writeup as a playbook, brown bag for the org. Happy to drive it.'","","","",""
"work.coffeechat.13.2","work","B1","Akilli Sorular Sormak","Senior Engineer","Coffee chat opening","2","Honestly, that I needed to stop coding to listen more. || Great question. It was when no one was asking me for help anymore.","Thanks for the time — what's a non-obvious lesson from your IC-to-manager move? || That resonates — what signal told you it was time to stop coding?","Acilis + derin soru: 'Thanks for the time — what's a non-obvious lesson from your IC-to-manager move?' || Derinlestir: 'That resonates — what signal told you it was time to stop coding?'","","","",""
"work.codereview.15.2","work","B2","PR Yorumlarini Alma","Reviewer","PR review response","2","LGTM on the fix. Still concerned about the function split — thoughts? || Read your comment — fair point. Approving the PR.","Good catch — pushed the fix. Mind another look? || Pushing back here — left context inline. Can we huddle if still concerned?","Pozitif: 'Good catch — pushed the fix. Mind another look?' || Karsi cikis: 'Pushing back here — left context inline. Can we huddle if still concerned?'","","","",""
"work.tech.9","work","C1","Technical Interview — Walk Me Through Your Approach","Technical Interviewer","CoderPad / shared editor — live coding interview","3","Given an array of integers, return indices of two numbers that add up to a target. Walk me through your approach. || Unsorted, may have duplicates, integers can be negative. Array size up to 10^5. || Good. Go with the hash map. Code it up.","Let me clarify — is the array sorted? Can it have duplicates? Negatives allowed? || Brute force is nested loop, O(n²). To optimize: use a hash map of value to index, single pass — O(n). || Iterating through the array. For each number, I check if target minus current is already in the map. If yes, return both indices.","Clarify ilk: 'Let me clarify — is the array sorted? Can it have duplicates? Negatives allowed?' Interviewer'a sinyal = sistematik düşünüyorum. || Iki yaklaşim: 'Brute force is nested loop, O(n²). To optimize: use a hash map of value to index, single pass — O(n).' Türk yazılımcı 'iki yaklaşim soyleyim' = 'two approaches'. || Sesli kod: 'Iterating through the array. For each number, I check if target minus current is already in the map. If yes, return both indices.'","","","",""
"work.tech.8","work","C2","Architecture Discussion — I'd Argue For...","Staff Engineer","Architecture review meeting (whiteboard session)","3","So — sync HTTP or message queue between order-svc and inventory-svc? || But that adds operational complexity — another system to maintain. || What about consistency? With sync, we get a strong guarantee.","I'd argue for a queue-based approach — decouples the two services and gives us backpressure for free. || Fair point — but using SQS as a managed service reduces the ops burden significantly. || For this use case, eventual consistency is acceptable — inventory updates can lag by 1-2 seconds without user impact.","Pozisyon: 'I'd argue for a queue-based approach — decouples the two services and gives us backpressure for free.' || Karsi argümen: 'Fair point — but using SQS as a managed service reduces the ops burden significantly.' || Trade-off: 'For this use case, eventual consistency is acceptable — inventory updates can lag by 1-2 seconds without user impact.'","","","",""
"airport.44.11","airport","A2","Kapıyı Bulamadım — Bilgi Bankosu","Information Desk Staff","Airport information desk, friendly helpful tone","3","Hi there, how can I help? || Sure. What's your flight number? || That's in Terminal 5. You're in Terminal 3 right now. || Take the free terminal shuttle. It takes about 15 minutes.","Hi, I'm lost. How do I get to Gate B42? || Here's my boarding pass. || How do I get to Terminal 5? Is it far?","Net aç: 'Hi, I'm lost. How do I get to Gate B42?' 'I lost' YANLIŞ → 'I'm lost' (passive yok, sıfat). || Sadece uçuş numarası: 'BA245.' veya biniş kartını uzat: 'Here's my boarding pass.' || Detay iste: 'How do I get to Terminal 5? Is it far?' Yürür mü, servis mi — sor.","","","",""
"airport.44.16","airport","B1","Hostes Yardımı — Form ve Battaniye","Flight Attendant","Mid-flight, dim cabin, attendant walking past","3","Excuse me, is there something I can help with? || Of course. Which part is confusing? || Port of entry is the airport where you'll first land — write 'JFK'.","Yes, sorry — could you help me with this form? I don't understand part of it. || This part — what does || Got it, thanks. Actually, could I ask one more thing?","Net + kibar: 'Yes, sorry — could you help me with this form? I don't understand part of it.' || Parmağınla göster + sor: 'This part — what does ""port of entry"" mean?' || Onayla + ikinci istek için köprü: 'Got it, thanks. Actually, could I ask one more thing?'","","","",""
"arc.apartment_hunt.3","arc","A2","Sahne 3 — Mrs. Pemberton ile tanışma: landlord interview","Mrs. Pemberton (landlord, traditional, careful)","Islington flat viewing, landlord present, Saturday afternoon","3","I like to meet my tenants. Tell me about yourself. || Do you smoke? Pets? || How long do you plan to stay?","I'm Burak — work as engineer at fintech. || Neither — no smoke, no pets. || Long-term — job is permanent.","Profesyonel tanıtım: 'I'm Burak — work as engineer at fintech.' Türk: uzun monolog, 2-3 cümle. || Kısa + net: 'Neither — no smoke, no pets.' Türk: 'No' yetersiz, ek bilgi. || İstikrar: 'Long-term — job is permanent.' Türk: 'I don't know' kapalı, ev sahibi istikrar arar.","","","",""
"arc.apartment_hunt.6","arc","B1","Sahne 6 — Move-in day: 'the boiler is broken'","Mrs. Pemberton (landlord, by phone)","Phone call, evening of move-in day","3","Hello — is everything alright? || Oh dear. Did you try the reset button? || I'll send my engineer tomorrow. 9am okay? || Boil a kettle for now. Sorry for the trouble.","Sorry to call on day one — issue with the boiler. || Tried twice — display shows F22. || Any workaround for tonight?","Sakin açılış: 'Sorry to call on day one — issue with the boiler.' Türk: 'Help broken' panik, sakin + bilgi. || Hata kod: 'Tried twice — display shows F22.' Türk: 'It doesn't work' kapalı, kod oku. || Plan + bonus: 'Any workaround for tonight?' Türk: 'OK 9am' düz, geceyi çöz.","","","",""
"arc.erasmus_amsterdam.10","arc","B2","Sahne 10 — Veda partisi: Annika ile son konuşma","Annika (final goodbye, real talk)","ESN farewell party, rooftop, midnight, night before departure","3","So this is it. Tomorrow morning, just like that, you're gone. || We always say 'let's stay in touch' and then never do. || Pinky promise?","Feels surreal. || You're stuck with me. || Pinky promise.","Duygusal kabul: 'Feels surreal.' Türk: 'Yes' düz, hisset. || Söz ver: 'You're stuck with me.' Türk: 'OK we keep talk' eksik, kararlı söz. || Çocuksu samimi: 'Pinky promise.' Türk: 'Yes' düz, samimi gestür.","","","",""
"arc.doctor_visit.7","arc","C2","Sahne 7 — ER: 'I think I'm having an allergic reaction'","ER triage nurse","A&E triage desk, evening, urgent","3","What's going on? || When did it start? || Any history of allergies? || Sit down. We're getting you back now. Any breathing trouble — tell me immediately.","Allergic reaction — took amoxicillin an hour ago. || Twenty minutes ago — progressing fast. || No known allergies before — this is the first.","Hızlı + spesifik: 'Allergic reaction — took amoxicillin an hour ago.' Türk: 'I feel bad' kapalı, somut. || Zaman çizelgesi: 'Twenty minutes ago — progressing fast.' Türk: 'Just now' yetersiz, dakika + trend. || Geçmiş: 'No known allergies before — this is the first.' Türk: 'I don't remember' yetersiz, ER'da net.","","","",""
