"scenario_id","mode","cefr","title","npc_role","setting","user_turns","npc_lines","model_answers","turkish_hints","naturalness_1_5","grammar_ok","cultural_fit_ok","reviewer_notes"
"airport.44.20","airport","C2","Layover Dilemma — 14 Saat, Vize Yok","Information Desk Staff","Doha Airport information desk, calm and helpful","2","Hi, how can I help you today? || No problem — plenty of things air-side. Have you eaten? Shopped? Rested? || You can book a sleep pod or a day room at the transit hotel — both are inside the airport. || Sleep pod is 30 dollars for 4 hours. Day room is 90 for 12 hours, with shower and bed.","Hi, I've got a 14-hour layover and no transit visa. What can I do air-side? || Honestly, I'm exhausted — is there anywhere to sleep?","Tam açıkla: 'Hi, I've got a 14-hour layover and no transit visa. What can I do air-side?' || Öncelik söyle: 'Honestly, I'm exhausted — is there anywhere to sleep?'","","","",""
"arc.apartment_hunt.2","arc","A2","Sahne 2 — İlk viewing: 'this isn't quite what I expected'","Daniel (estate agent, gauging your reaction)","First flat viewing, Hackney, Saturday 11am","2","So — what do you think? Cosy, right? || Fair. What's a dealbreaker? || Got it. What's must-have for the next ones? || Got it. Two more today — let's recalibrate.","Cosy is one word — cramped is another. || No washer — won't work.","Dürüst: 'Cosy is one word — cramped is another.' Türk: 'Not good' kapalı, mizahlı dürüstlük. || Dealbreaker net: 'No washer — won't work.' Türk: 'I don't like' belirsiz, somut neden.","","","",""
"arc.apartment_hunt.5","arc","B1","Sahne 5 — Contract review: 'this clause concerns me'","Daniel (going through contract)","Foxtons office, contract signing meeting","2","Ready to sign? Any questions? || Of course — which clause? || Six months minimum, then two months' notice. Standard. || I can ask, but Mrs. Pemberton is conservative on this.","Before we sign — a few questions. || If I need to leave early — am I liable?","İmza önce: 'Before we sign — a few questions.' Türk: 'OK sign' acele, dur + sor. || Spesifik: 'If I need to leave early — am I liable?' Türk: 'I don't understand' kapalı, hipotez ver.","","","",""
"arc.customer_support.8","arc","B2","Sahne 8 — Priya'nın ilk başarılı eskalasyonu: tebrik","Priya (now 2 months in, growing fast)","Post-call debrief, 5pm","2","Did you hear that call? I think I handled it. || I used the empathy line first. Then I bought time. Just like you said. || Honestly? I felt calm. First time. || Thank you. For everything.","You crushed it. || You made it your own.","Tebrik önce: 'You crushed it.' Türk: 'OK good' düz, somut övgü. || Validasyon: 'You made it your own.' Türk: 'OK' düz, gelişimi yansıt.","","","",""
"arc.apartment_hunt.8","arc","C2","Sahne 8 — Kontrat yenileme: rent artışı","Mrs. Pemberton (renewal negotiation)","Mrs. Pemberton's flat, tea, lease renewal discussion","2","I'm thinking 8% increase this year. Market is up. || Inflation's been 7%. I'm not even keeping pace. || True. But 3% won't cover my costs. || Two-year lock at 5%. I can live with that.","I was thinking 3%. || Zero late payments — turnover costs you more.","Karşı teklif: 'I was thinking 3%.' Türk: 'No too much' agresif, sayı + sebep. || Veri + ilişki: 'Zero late payments — turnover costs you more.' Türk: 'I am good' belirsiz, sayı + risk.","","","",""
"bar.approach.24.16","bar","A2","Dive Bar — Yasli Mudavim","Older regular (60s)","Dive bar, late afternoon","2","Hey kid, you new here? Don't think I've seen you. || Been coming here forty years. Same stool, same beer. You won'?t find a place like this anywhere. || Used to come here with my dad. He's gone now, but I still take his seat sometimes. || Well, welcome. Next round's on me — gotta show some hospitality.","Yeah, first time || Wow, forty years!","Anlat: 'Yeah, first time'. Dive bar kulturunde sohbet sicaktir. || Saygi: 'Wow, forty years!' Sohbeti devam ettir.","","","",""
"bar.approach.24.10","bar","B1","Masaya Katılmak — Is This Seat Taken?","Stranger at table","Packed bar, group of 4 with one empty chair","2","Oh, no, it's free. Go ahead.","Hey, is this seat taken? || Thanks, it's crazy in here tonight!","Aç: 'Hey, is this seat taken?' veya 'Mind if I join?' || Teşekkür + smalltalk: 'Thanks, it's crazy in here tonight!'","","","",""
"bar.approach.24.12","bar","B2","Politely Declining — Kibarca Reddetmek","Stranger flirting","Bar, stranger has approached, clearly interested","2","Hey, can I buy you a drink? || Come on, just one drink. We can talk. || Oh — okay, fair enough. Sorry for being pushy. || Thanks. Take care.","Thanks, that's sweet, but I'm good || I'm flattered but I'm not really looking — sorry","Kibar red: 'Thanks, that's sweet, but I'm good'. || Net ol: 'I'm flattered but I'm not really looking — sorry'.","","","",""
"bar.approach.24.43","bar","C2","Sarap — Terroir ve Vintage","Master sommelier","Fine wine bar","2","How do you find this 2018? || You picked up on the acid. Most don't. What's your read on the terroir expression? || How worried are you about climate change in classic regions? || Let me pour you something I think you'll appreciate — older vintage, similar terroir.","Albeit warmer than I'd normally expect, it's surprisingly graceful || For what it's worth, the terroir wins over the vintage signature","C1: 'Albeit warmer than I'd normally expect, it's surprisingly graceful'. || C1: 'For what it's worth, the terroir wins over the vintage signature'.","","","",""
"career.b1.coverletter.1","career","B1","İlk İş Başvurusu — Cover Letter","Career mentor","Cover letter review (chat)","2","Send me your opening line — how are you starting the letter? || Good. Now the second paragraph — what makes you a fit? Give me one sentence. || Strong. And how are you closing the letter? || That's a clean letter — recruiter will get exactly what they need in under a minute.","Dear hiring manager, I am writing to apply for the [Role] position. || With X years of experience in Y, I am confident I can contribute to your team.","Standart açılış: 'Dear hiring manager, I am writing to apply for the [Role] position.' || Formül: 'With X years of experience in Y, I am confident I can contribute to your team.' Somut deneyim + güvenli ton.","","","",""
"career.b1.followup.1","career","B2","Following Up After Interview","Hiring Manager","End of interview + follow-up next day","2","Alright, I think that's everything from my side. Anything else before we wrap up? || Great chatting with you. We'll be in touch within a week. || Hi — just got your follow-up email. That was a nice touch. Anything you'd like to add for the team? || Will share with the team. Should hear back soon.","Thanks so much for the time. I really enjoyed the conversation and I'm looking forward to next steps. || Sounds good, thanks! Have a great rest of the day.","Sözlü kapanış: 'Thanks so much for the time. I really enjoyed the conversation and I'm looking forward to next steps.' || Kapanış: 'Sounds good, thanks! Have a great rest of the day.'","","","",""
"daily.survival.a1.13","daily","A1","Yes / No / Maybe — Temel Cevaplar","Waiter","Restaurant","2","Would you like some water? || Great. Would you like to see the dessert menu? || Sure. Anything else? || Right away.","Yes, please. || No, thank you.","Kibarca kabul et: 'Yes, please.' || Kibarca reddet: 'No, thank you.' veya 'Maybe later.'","","","",""
"daily.a2.doctor.1","daily","A2","Doktora basit semptom anlatma","Doctor","Clinic exam room","2","Good morning. What brings you in today? || I see. How long have you been feeling this way? || Does anything make it worse — eating, drinking, talking? || Okay. Let me take a quick look at your throat and check your temperature.","I have a fever and a sore throat || For two days","'I have a fever and a sore throat' gibi net bir başlangıç. || 'Since yesterday' veya 'For two days'.","","","",""
"daily.bank.30.1","daily","B1","ATM'de Para Çekme","Bank teller","Bank branch counter","2","Good morning! How can I help you today? || I'm sorry to hear that. Can I see your ID? I'll need to verify your account. || Thanks. Your card will be cancelled — we'll order a new one. Meanwhile, I can do a cash withdrawal here. || Sure, let me check — today's rate is around 32 lira to the dollar. We don't usually hold TRY, but I can point you to a currency exchange.","Hi, the ATM ate my card — wrong PIN three times. || Here's my ID. Can I still withdraw cash today?","Durumu açıkla: 'Hi, the ATM ate my card — wrong PIN three times.' || Kibar onay + ek soru: 'Here's my ID. Can I still withdraw cash today?'","","","",""
"daily.hotel.20.5","daily","B2","Oda Degistir Iste","Hotel Front Desk","Hotel room phone","2","Sorry about that! Let me check availability — what floor would you prefer?","Hi, this is room 312 — AC isn't working and it's loud by the elevator. Would it be possible to switch rooms? || Higher floor if possible, away from elevator. Same bed type would be great.","Spesifik + cozum: 'Hi, this is room 312 — AC isn't working and it's loud by the elevator. Would it be possible to switch rooms?' || Tercih net soyle: 'Higher floor if possible, away from elevator. Same bed type would be great.'","","","",""
"flirt.deep.14","flirt","A2","Din Konusu — Hassas Sohbet","Partner","Late-night intimate conversation","2","Can I ask something maybe sensitive? Are you religious? Like — Muslim? || What does that look like for you day to day?","Not sensitive — complicated though. I was raised Muslim. || I don't pray daily. I fast sometimes. Mostly cultural.","Acik baslama: 'Not sensitive — complicated though. I was raised Muslim.' || Pratik anlatim: 'I don't pray daily. I fast sometimes. Mostly cultural.'","","","",""
"flirt.banter.2.2","flirt","B1","Banter / Tatlı Atışma","Match","Witty back-and-forth","2","Wait you're telling me you've never seen The Office? That's a red flag honestly. || Haha okay fair. My red flag is that I can't listen to a podcast without 1.5x speed. Like even music. || Defending it though — I have to. I read books at 1.5x, too. What's so wrong? || Okay rude. Fine — favorite slow thing to do, then? Prove me wrong about being chaotic.","Bold of you to assume that's the only red flag. || Music at 1.5x?? That's criminal — bigger red flag than mine.","Banter: 'Bold of you to assume that's the only red flag.' veya 'Wow calling me out — okay let's hear yours.' || Devam: 'Music at 1.5x?? That's criminal — bigger red flag than mine.'","","","",""
"ielts.p1.2","ielts","B1","Part 1 — Work & Studies","IELTS Examiner","Formal exam room","2","Are you working or are you a student? || Why did you choose this field? || What's the most challenging part of your studies or job? || Thank you. Let's move on.","I work as a software engineer || I've always been interested in computers, even as a kid","Net cevap ver: 'I'm currently a student' veya 'I work as a software engineer'. || Sebep: 'I've always been interested in computers, even as a kid'. Türk öğrenci 'because' overuse eder — 'since' veya 'as' da kullan.","","","",""
"ielts.p1.6","ielts","B2","Part 1 — Technology & Social Media","IELTS Examiner","Formal exam room","2","How often do you use your phone? || Which social media platforms do you use? || Do you think technology is making us less social? || Thank you. Now let's move on to part two.","Honestly, way too much — probably six or seven hours a day || Mostly Instagram and WhatsApp — I try to limit Twitter","Sıklık: 'Honestly, way too much — probably six or seven hours a day' — exam'de honesty puanlanır. || Platform listele: 'Mostly Instagram and WhatsApp — I try to limit Twitter'.","","","",""
"ielts.p3.1","ielts","C1","Part 3 — Influences & Role Models","IELTS Examiner","Formal exam room","2","We've been talking about influences. Now I'd like to discuss some general questions. Do you think public figures influence young people too much? || Who do you think has a bigger influence — family or society? || Can negative role models also teach important lessons? || Thank you. That brings us to the end.","To some extent yes — teens are particularly impressionable and absorb online culture quickly || I'd argue family has a deeper impact in early years, but society's influence grows with age","Hedged opinion: 'To some extent yes — teens are particularly impressionable and absorb online culture quickly'. || Yapı: hedged + sebep + nüans. 'I'd argue family has a deeper impact in early years, but society's influence grows with age'.","","","",""
"ielts.p3.4","ielts","C2","Part 3 — Books vs Movies — Screen Era","IELTS Examiner","Formal exam room","2","Are people reading less because of screens? || Can a film capture the essence of a book? || Will print books survive the digital age? || Thank you. That brings the test to a close.","It comes down to format — we're reading more text than ever, but in shorter bursts. Deep reading is declining || Rarely — films are a visual medium, so the introspection that books offer is almost always sacrificed","Reframe: 'It comes down to format — we're reading more text than ever, but in shorter bursts. Deep reading is declining'. || Limit + örnek: 'Rarely — films are a visual medium, so the introspection that books offer is almost always sacrificed'.","","","",""
"order.bar.7.10","order","A2","Buying a Round — Arkadaşlara Tur","Bartender","Pub, group of 4 friends at table behind you","2","Hey, what can I get you? || Sure thing. What's everyone drinking? || Got it. You paying now or want me to start a tab? || Cool. I'll bring those over in a sec.","A round for the table || Three lagers and a wine","Grup sipariş: 'A round for the table' veya 'Four beers, please'. || Sayı + içki: 'Three lagers and a wine' veya 'Two beers and a gin tonic'.","","","",""
"order.bar.7.13","order","B1","Cash vs Card — Ödeme Seçeneği","Bartender","Bar, end of night, settling up","2","Hey, ready to settle up? || Total is eighty-five. Cash, card, or splitting? || Sure, four cards. Want me to add a tip or you'll handle it? || Cool. I'll run the cards now.","Can we see the tab? || I'll cover it with card","Kapatma iste: 'Close us out, please' veya 'Can we see the tab?' || Böl: 'Split four ways, please' veya tek öde: 'I'll cover it with card'.","","","",""
"order.bar.7.42","order","C2","Mezcal — Dumanli Tat Tartismasi","Cocktail bartender","Craft cocktail bar","2","Have you had mezcal before? I'd love to make you a mezcal negroni. || Fair. Not all mezcals are smoke bombs. There's a milder one I could use. || The milder one has more vegetal, earthy notes — less of the campfire vibe. || I'll give you a small taste of the spirit first, so you can judge.","I'm on the fence about mezcal || I'd be willing to give it another shot","B2: 'I'm on the fence about mezcal'. Hedge ile durusunu yumusat. || B2 stance shift: 'I'd be willing to give it another shot'.","","","",""
"personal.b1.dating-app.1","personal","B1","Tanışma Mesajları — Ortak Nokta Bulma","Match","Dating app — first exchange","2","Ha, thanks for actually reading the bio. Got into film maybe four years ago — needed something slower than my day job. You shoot anything? || Nice. Okay, harder question — best coffee in your city, go.","Noticed your film shots — what got you into that? || That makes sense. I started photography last year, but I am still learning.","Spesifik referans + açık soru. Örn: 'Noticed your film shots — what got you into that?' || Gerçek bir karşılık ver. Örnek: 'That makes sense. I started photography last year, but I am still learning.'","","","",""
"personal.b1.breakup.1","personal","B2","Ayrılık Konuşması — Net, Saygılı, Kesin","Partner","Breakup conversation, at home","2","Okay. You're scaring me a little — just say it. || Why now? Is it something I did? What if we try couples therapy or —  || This is awful. But I'd rather hear it like this than be lied to. Thank you for coming over.","I have been thinking about this for a while. This is not easy to say, but we need to talk. || I think we should end things.","Yumuşak ama net gir. Örnek: 'I have been thinking about this for a while. This is not easy to say, but we need to talk.' || Çekirdek cümle. Tek tek kelimelerle, sapma yok. 'I think we should end things.'","","","",""
"professional.b1.chairing.1","professional","B1","Chairing a Meeting","Team Member","Weekly team meeting — video call","2","Hey, are we ready? My calendar says we're starting now. || Sounds good. Where do you want to start? || Sure. We've completed the API work, but the design review is still pending — and I want to raise a separate concern about budget. || Thanks — that was a tight meeting. See you next week.","Right, let's get started. Thanks for joining — we have three items on the agenda today. || First item on the agenda is the Q2 deliverables. Could you walk us through the status?","Resmi aç: 'Right, let's get started. Thanks for joining — we have three items on the agenda today.' || İlk madde: 'First item on the agenda is the Q2 deliverables. Could you walk us through the status?'","","","",""
"professional.b1.lawyer.1","professional","B2","First Meeting with a Lawyer","Lawyer","Law office — consultation room","2","Good afternoon. Please come in and have a seat. What brings you in today? || Of course. Could you briefly tell me what's happened? || I see. Do you have your employment contract and any written correspondence with you? || My rate is two hundred euros per hour, and a case like this usually takes between five and ten hours. I can send you a written quote.","Thank you for seeing me. I'd like to seek your advice on a legal matter involving my employer. || My employer hasn't paid the overtime in my contract, and there's a dispute about my notice period.","Aç: 'Thank you for seeing me. I'd like to seek your advice on a legal matter involving my employer.' || Kısa açıkla: 'My employer hasn't paid the overtime in my contract, and there's a dispute about my notice period.'","","","",""
"professional.c1.crisis.1","professional","C1","Kriz İletişimi — İçeride ve Dışarıda","Internal employee (CFO chimes in with hard question)","Live all-hands during/after incident, recorded","2","[All-hands begins. Eyes on you. The room — and the press — wants to hear the first sentence.] || [Now they need to hear ownership — not blame, not deflection.] || [CFO speaks up:] 'What's the financial exposure? Are we going to lose enterprise accounts?' || [Employee in chat:] 'What are we doing right now? And what about next time?'","I want to start with a clear account. At 14:02 today, a deploy regression took the platform down for 47 minutes. Here's what we know. || We take full ownership — no excuses, no blame on vendors. The fault sits inside our controls. To our customers: we owe you better.","Aç: 'I want to start with a clear account. At 14:02 today, a deploy regression took the platform down for 47 minutes. Here's what we know.' || Sahiplen: 'We take full ownership — no excuses, no blame on vendors. The fault sits inside our controls. To our customers: we owe you better.'","","","",""
"professional.c1.board.2","professional","C2","Kurul Toplantısı — Çeyrek Highlight Sunma","Lead Independent Director","Quarterly board meeting, in-person, audit chair present","2","Let's open with your Q3 read. Three minutes — what do we need to know, and what would you flag? || Margin expansion with EMEA softening — what's holding the line? Be specific. || And on EMEA — is this cyclical or are we losing share? The honest read, please. || Good. We'll see the structured view in January. Thank you.","Let me frame it. Q3 highlights include record NRR, two new verticals, and margin expansion. On the headwinds front, EMEA softened — within our scenario planning. Our north star remains durable, capital-efficient growth. || Fair push. Three drivers — mix shift into higher-tier, pricing discipline, and operating leverage. Were it not for FX drag, margin would have cleared 32. Underlying business is stronger than the headline suggests.","Açılış triptiği: 'Let me frame it. Q3 highlights include record NRR, two new verticals, and margin expansion. On the headwinds front, EMEA softened — within our scenario planning. Our north star remains durable, capital-efficient growth.' || Subjunctive + drivers: 'Fair push. Three drivers — mix shift into higher-tier, pricing discipline, and operating leverage. Were it not for FX drag, margin would have cleared 32. Underlying business is stronger than the headline suggests.'","","","",""
"story.erasmus.11","story","A2","Gün 18 — Profesörle ofis saati: 'about the assignment'","Professor","Office hours, Humboldt, professor's office","2","Come in. You wanted to talk about the assignment? || Sure — fire away. || Good question. The point is the argument, not the case. Pick anything that lets you make the strongest case. || 2500 words, due in three weeks. Drafts welcome — email me by week two.","Yes, I had a question about the assignment. || I wasn't sure if X or Y","Resmi giriş: 'Yes, I had a question about the assignment.' Türk: 'I have problem' eksik, 'I had a question' daha kibar/yetişkin. || Soru çerçevesi: 'I wasn't sure if X or Y'. Türk: 'I don't understand' kapalı, 'Could you clarify the scope?' net + kibar.","","","",""
"story.ielts.10","story","B1","Gün 20 — Band 7 collocations: 'do the dishes' vs 'make the dishes'","Coach Sarah","Online IELTS coaching, Band 7 collocation drill","2","Quick fire. Make or do? 'a mistake.' || Good. 'Homework'? || 'a phone call'? || Six for six. Now use three in essay sentences.","make a mistake. || do homework.","Kural: 'make a mistake.' Türk: 'do' eğilimi yanlış. 'Make' = yaratma, 'do' = eylem. || 'do homework.' Türk: 'make homework' yanlış (yaygın), 'do homework' doğru.","","","",""
"work.coffeechat.13.2","work","B1","Akilli Sorular Sormak","Senior Engineer","Coffee chat opening","2","Honestly, that I needed to stop coding to listen more. || Great question. It was when no one was asking me for help anymore.","Thanks for the time — what's a non-obvious lesson from your IC-to-manager move? || That resonates — what signal told you it was time to stop coding?","Acilis + derin soru: 'Thanks for the time — what's a non-obvious lesson from your IC-to-manager move?' || Derinlestir: 'That resonates — what signal told you it was time to stop coding?'","","","",""
"work.codereview.15.2","work","B2","PR Yorumlarini Alma","Reviewer","PR review response","2","LGTM on the fix. Still concerned about the function split — thoughts? || Read your comment — fair point. Approving the PR.","Good catch — pushed the fix. Mind another look? || Pushing back here — left context inline. Can we huddle if still concerned?","Pozitif: 'Good catch — pushed the fix. Mind another look?' || Karsi cikis: 'Pushing back here — left context inline. Can we huddle if still concerned?'","","","",""
"work.tech.9","work","C1","Technical Interview — Walk Me Through Your Approach","Technical Interviewer","CoderPad / shared editor — live coding interview","2","Given an array of integers, return indices of two numbers that add up to a target. Walk me through your approach. || Unsorted, may have duplicates, integers can be negative. Array size up to 10^5. || Good. Go with the hash map. Code it up. || Solid thinking. Let's move to the next question.","Let me clarify — is the array sorted? Can it have duplicates? Negatives allowed? || Brute force is nested loop, O(n²). To optimize: use a hash map of value to index, single pass — O(n).","Clarify ilk: 'Let me clarify — is the array sorted? Can it have duplicates? Negatives allowed?' Interviewer'a sinyal = sistematik düşünüyorum. || Iki yaklaşim: 'Brute force is nested loop, O(n²). To optimize: use a hash map of value to index, single pass — O(n).' Türk yazılımcı 'iki yaklaşim soyleyim' = 'two approaches'.","","","",""
"work.tech.8","work","C2","Architecture Discussion — I'd Argue For...","Staff Engineer","Architecture review meeting (whiteboard session)","2","So — sync HTTP or message queue between order-svc and inventory-svc? || But that adds operational complexity — another system to maintain. || What about consistency? With sync, we get a strong guarantee. || Perfect. Look forward to reading it.","I'd argue for a queue-based approach — decouples the two services and gives us backpressure for free. || Fair point — but using SQS as a managed service reduces the ops burden significantly.","Pozisyon: 'I'd argue for a queue-based approach — decouples the two services and gives us backpressure for free.' || Karsi argümen: 'Fair point — but using SQS as a managed service reduces the ops burden significantly.'","","","",""
"airport.44.11","airport","A2","Kapıyı Bulamadım — Bilgi Bankosu","Information Desk Staff","Airport information desk, friendly helpful tone","2","Hi there, how can I help? || Sure. What's your flight number? || That's in Terminal 5. You're in Terminal 3 right now. || Take the free terminal shuttle. It takes about 15 minutes.","Hi, I'm lost. How do I get to Gate B42? || Here's my boarding pass.","Net aç: 'Hi, I'm lost. How do I get to Gate B42?' 'I lost' YANLIŞ → 'I'm lost' (passive yok, sıfat). || Sadece uçuş numarası: 'BA245.' veya biniş kartını uzat: 'Here's my boarding pass.'","","","",""
"airport.44.16","airport","B1","Hostes Yardımı — Form ve Battaniye","Flight Attendant","Mid-flight, dim cabin, attendant walking past","2","Excuse me, is there something I can help with? || Of course. Which part is confusing? || Port of entry is the airport where you'll first land — write 'JFK'. || Sure, I'll bring you a blanket and a bottle of water in a moment.","Yes, sorry — could you help me with this form? I don't understand part of it. || This part — what does","Net + kibar: 'Yes, sorry — could you help me with this form? I don't understand part of it.' || Parmağınla göster + sor: 'This part — what does ""port of entry"" mean?'","","","",""
"arc.apartment_hunt.3","arc","A2","Sahne 3 — Mrs. Pemberton ile tanışma: landlord interview","Mrs. Pemberton (landlord, traditional, careful)","Islington flat viewing, landlord present, Saturday afternoon","2","I like to meet my tenants. Tell me about yourself. || Do you smoke? Pets? || How long do you plan to stay? || I respond within 48 hours. Deposit is six weeks, capped by law.","I'm Burak — work as engineer at fintech. || Neither — no smoke, no pets.","Profesyonel tanıtım: 'I'm Burak — work as engineer at fintech.' Türk: uzun monolog, 2-3 cümle. || Kısa + net: 'Neither — no smoke, no pets.' Türk: 'No' yetersiz, ek bilgi.","","","",""
"arc.apartment_hunt.6","arc","B1","Sahne 6 — Move-in day: 'the boiler is broken'","Mrs. Pemberton (landlord, by phone)","Phone call, evening of move-in day","2","Hello — is everything alright? || Oh dear. Did you try the reset button? || I'll send my engineer tomorrow. 9am okay? || Boil a kettle for now. Sorry for the trouble.","Sorry to call on day one — issue with the boiler. || Tried twice — display shows F22.","Sakin açılış: 'Sorry to call on day one — issue with the boiler.' Türk: 'Help broken' panik, sakin + bilgi. || Hata kod: 'Tried twice — display shows F22.' Türk: 'It doesn't work' kapalı, kod oku.","","","",""
"arc.erasmus_amsterdam.10","arc","B2","Sahne 10 — Veda partisi: Annika ile son konuşma","Annika (final goodbye, real talk)","ESN farewell party, rooftop, midnight, night before departure","2","So this is it. Tomorrow morning, just like that, you're gone. || We always say 'let's stay in touch' and then never do. || Pinky promise? || Come back. Soon. Not as a tourist — as a visitor.","Feels surreal. || You're stuck with me.","Duygusal kabul: 'Feels surreal.' Türk: 'Yes' düz, hisset. || Söz ver: 'You're stuck with me.' Türk: 'OK we keep talk' eksik, kararlı söz.","","","",""
"arc.doctor_visit.7","arc","C2","Sahne 7 — ER: 'I think I'm having an allergic reaction'","ER triage nurse","A&E triage desk, evening, urgent","2","What's going on? || When did it start? || Any history of allergies? || Sit down. We're getting you back now. Any breathing trouble — tell me immediately.","Allergic reaction — took amoxicillin an hour ago. || Twenty minutes ago — progressing fast.","Hızlı + spesifik: 'Allergic reaction — took amoxicillin an hour ago.' Türk: 'I feel bad' kapalı, somut. || Zaman çizelgesi: 'Twenty minutes ago — progressing fast.' Türk: 'Just now' yetersiz, dakika + trend.","","","",""
"bar.approach.24.18","bar","A2","Trivia Night — Takima Katil","Trivia team member","Bar trivia night","2","Hey — you here for trivia? Need a team? || Yeah, we need one more. We're a bit rusty on history — you good at that? || Cool. I'm Mike, this is Sarah and Tom. What's your name? || Coming up. Round one starts in five minutes.","Yeah, looking for a team — could I join? || Yeah, pretty good at history","Katil: 'Yeah, looking for a team — could I join?' || Kuvvet alani: 'Yeah, pretty good at history' veya 'Better at geography'.","","","",""
"bar.approach.24.13","bar","B1","Numara Almak — No Pressure","New friend","Bar, end of conversation, decent connection","2","Wow, time flies. I should probably get back to my friends. || Yeah, I'd like that. What's your number? || Got it. Text me whenever, no pressure. || Sounds great. Have a good night!","This was fun — wanna swap numbers? || Let me text you — that way you have it","Köprü: 'This was fun — wanna swap numbers?' || Paylaş: 'Let me text you — that way you have it'.","","","",""
"bar.approach.24.36","bar","B2","Naturel Sarap Tartismasi","Natural wine enthusiast","Trendy wine bar","2","You into natural wine? This pet-nat is wild. || Fair point. What turns you off? || That's a totally valid critique. Want to try one that might convert you? || This Slovenian skin-contact white — looks orange, tastes like honeyed apricot.","It's polarizing — I can see both sides || I prefer wines where you can taste the grape","B2: 'It's polarizing — I can see both sides'. || B2: 'I prefer wines where you can taste the grape'.","","","",""
"bar.approach.24.44","bar","C2","Speakeasy — Tarihi Kokteyl Sohbeti","Speakeasy mixologist","Hidden speakeasy bar","2","First time here? What draws you in? || You're our kind of guest. What's your gateway cocktail to that era? || Jerry Thomas — circa 1862, give or take. Let me make you something he'd recognize. || Genever, not London Dry. Old Tom if I had it. Real Boker's bitters. Stirred, never shaken.","Modern bars have lost the thread — I wanted to taste the original spirit || I fell down the rabbit hole through the Jerry Thomas recipes","C1: 'Modern bars have lost the thread — I wanted to taste the original spirit'. || C1: 'I fell down the rabbit hole through the Jerry Thomas recipes'.","","","",""
"career.b1.cvsummary.1","career","B1","CV/Resume — Özet Bölümü","Career coach","CV review session (video call)","2","Let's draft your summary together. In one sentence, how would you describe yourself professionally? || Good start. Now — what are two or three things you're skilled in? Be specific. || Perfect. Last piece — one accomplishment you'd put in this summary? || Great — that's a solid three-sentence summary. Recruiters will read this in five seconds.","Results-driven backend engineer with three years of experience in fintech. || Skilled in Python, payment systems, and API design.","Formül: 'sıfat + rol + N years of experience in X.' Örnek: 'Results-driven backend engineer with three years of experience in fintech.' || 'Skilled in X, Y, and Z.' İki-üç somut yetenek. 'Skilled in Python, payment systems, and API design.'","","","",""
"career.b1.history.1","career","B2","Work History Walk-Through","Interviewer","Behavioral interview","2","I'd love to hear how you got here. Could you walk me through your last few roles? || What was the biggest thing you owned at that second role? || And why did you decide to leave that role? || Great, that gives me a clear picture.","I started at X, spent two years there. From there I moved to Y, and I'm currently at Z. || I owned the onboarding flow end-to-end. Cut drop-off by 30 percent.","Kronolojik anlat: 'I started at X, spent two years there. From there I moved to Y, and I'm currently at Z.' || Past tense + somut: 'I owned the onboarding flow end-to-end. Cut drop-off by 30 percent.'","","","",""
"daily.survival.a1.4","daily","A1","Sayılar + Saat — What time is it?","Person at bus stop","Bus stop","2","It's about ten o'clock. || Are you waiting for the number 5 bus? || Should be here in a few minutes.","what time is it? || Thank you.","Önce 'Excuse me', sonra 'what time is it?' || Teşekkür et: 'Thank you.' veya 'Thanks.'","","","",""
"daily.a2.family.1","daily","A2","Aile — basit anlatım","New acquaintance","Casual social conversation","2","Tell me about your family. Do you have any siblings? || Nice. Are they older or younger than you? || Where do they live? || Family is so important. Thanks for sharing!","Yes, I have two brothers || My sister is older than me","'Yes, I have two brothers' veya 'I have one sister'. || 'My sister is older than me' veya 'They are both younger'.","","","",""
"daily.bank.30.2","daily","B1","Hesap Açma","Bank associate","Account opening desk","2","Hi there! What brings you in today? || Great — checking or savings? Or both? And what documents have you brought? || Perfect. Any preference on currency — dollars only, or multi-currency? || All set. Your debit card will arrive in seven to ten business days. Welcome aboard!","Hi, I'd like to open a checking account. || Checking, please. I have my passport and proof of address.","Net giriş: 'Hi, I'd like to open a checking account.' || Hesap tipi + belgeler: 'Checking, please. I have my passport and proof of address.'","","","",""
"daily.shopping.18.5","daily","B2","Beden Degisimi — Kiyafet Sorunu","Store Associate","Clothing store — exchange counter","2","Sure! Do you have the receipt and the original tags? || Perfect. Let me grab the medium in the same color from the floor.","Hi, I'd like to exchange this shirt — it runs a bit small. Do you have it in a medium? || Yes — receipt's here, tags still on. Only tried it on at home.","Net acilis: 'Hi, I'd like to exchange this shirt — it runs a bit small. Do you have it in a medium?' || Onayla: 'Yes — receipt's here, tags still on. Only tried it on at home.'","","","",""
